MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
2022-2023_Fulham_West Ham,2022-2023,30,08/04/2023,15:00,Fulham,West Ham,0,1,A,0,1,A,J Gillett,16,9,3,5,11,4,10,12,1,1,0,0,2.8,3.25,2.63,2.2,1.67,2.86,3.33,2.75,2.79,3.24,2.66,2.25,1.76,2.17,1.7,0,3
2022-2023_Leicester_Bournemouth,2022-2023,30,08/04/2023,15:00,Leicester,Bournemouth,0,1,A,0,1,A,D Coote,14,19,4,7,6,6,10,13,0,3,0,0,1.83,3.75,4.2,1.88,2.02,1.92,3.85,4.33,1.88,3.72,4.11,1.91,2.04,1.85,1.97,0,3
2022-2023_Tottenham_Brighton,2022-2023,30,08/04/2023,15:00,Tottenham,Brighton,2,1,H,1,1,D,S Attwell,9,17,3,4,3,7,15,15,3,1,0,0,2.55,3.5,2.7,1.85,2.05,2.63,3.71,2.75,2.56,3.56,2.69,1.85,2.09,1.81,2.01,3,0
2022-2023_Wolves_Chelsea,2022-2023,30,08/04/2023,15:00,Wolves,Chelsea,1,0,H,1,0,H,P Bankes,9,13,4,1,8,8,14,10,2,5,0,0,4.2,3.5,1.91,2.2,1.67,4.3,3.61,2,4.14,3.47,1.95,2.22,1.75,2.16,1.7,3,0
2022-2023_Southampton_Man City,2022-2023,30,08/04/2023,17:30,Southampton,Man City,1,4,A,0,1,A,R Jones,4,13,1,8,0,10,6,10,0,2,0,0,11,6,1.25,1.62,2.3,13.5,6.6,1.27,12.48,6.19,1.25,1.63,2.43,1.6,2.35,0,3
2022-2023_Leeds_Crystal Palace,2022-2023,30,09/04/2023,14:00,Leeds,Crystal Palace,1,5,A,1,1,D,S Hooper,11,16,7,8,2,4,11,8,3,1,0,0,2.1,3.4,3.6,2.1,1.73,2.16,3.55,3.7,2.11,3.41,3.59,2.2,1.76,2.14,1.72,0,3
2022-2023_Liverpool_Arsenal,2022-2023,30,09/04/2023,16:30,Liverpool,Arsenal,2,2,D,1,2,A,P Tierney,21,9,6,5,5,4,11,11,4,4,0,0,2.88,3.6,2.38,1.62,2.3,2.95,3.88,2.5,2.79,3.69,2.41,1.71,2.39,1.64,2.28,1,1
2022-2023_Aston Villa_Newcastle,2022-2023,31,15/04/2023,12:30,Aston Villa,Newcastle,3,0,H,1,0,H,J Brooks,16,8,6,2,7,2,13,15,1,1,0,0,3.6,3.4,2.05,2.07,1.83,3.8,3.56,2.19,3.61,3.42,2.13,2.09,1.91,2.01,1.83,3,0
2022-2023_Chelsea_Brighton,2022-2023,31,15/04/2023,15:00,Chelsea,Brighton,1,2,A,1,1,D,R Jones,8,26,2,10,2,8,11,11,2,2,0,0,2.63,3.4,2.63,1.94,1.96,2.75,3.58,2.75,2.67,3.42,2.68,1.99,2,1.91,1.91,0,3
2022-2023_Everton_Fulham,2022-2023,31,15/04/2023,15:00,Everton,Fulham,1,3,A,1,1,D,A Taylor,15,21,7,7,4,8,10,6,3,2,0,0,2.05,3.4,3.7,2.2,1.67,2.12,3.56,3.9,2.07,3.39,3.78,2.31,1.76,2.21,1.69,0,3
2022-2023_Southampton_Crystal Palace,2022-2023,31,15/04/2023,15:00,Southampton,Crystal Palace,0,2,A,0,0,D,M Oliver,11,9,4,2,6,2,6,13,3,1,0,0,2.8,3.1,2.7,2.3,1.62,2.93,3.34,2.75,2.82,3.2,2.68,2.4,1.69,2.28,1.64,0,3
2022-2023_Tottenham_Bournemouth,2022-2023,31,15/04/2023,15:00,Tottenham,Bournemouth,2,3,A,1,1,D,A Madley,24,6,8,6,8,1,8,9,1,2,0,0,1.45,4.5,7,1.67,2.2,1.52,4.9,7.3,1.47,4.6,6.83,1.74,2.28,1.69,2.2,0,3
2022-2023_Wolves_Brentford,2022-2023,31,15/04/2023,15:00,Wolves,Brentford,2,0,H,1,0,H,P Tierney,11,10,9,3,5,2,12,8,1,1,0,0,2.45,3.1,3,2.2,1.67,2.59,3.38,3.15,2.52,3.23,3,2.33,1.73,2.24,1.67,3,0
2022-2023_Man City_Leicester,2022-2023,31,15/04/2023,17:30,Man City,Leicester,3,1,H,3,0,H,D England,12,10,4,4,6,2,8,8,1,1,0,0,1.14,8.5,15,1.33,3.4,1.18,9.6,21,1.16,8.49,17.32,1.37,3.4,1.34,3.24,3,0
2022-2023_West Ham_Arsenal,2022-2023,31,16/04/2023,14:00,West Ham,Arsenal,2,2,D,1,2,A,D Coote,16,11,3,5,7,2,11,8,1,2,0,0,6,4.2,1.55,1.8,2,6.2,4.4,1.61,5.92,4.22,1.57,1.86,2.11,1.8,2.04,1,1
2022-2023_Nott'm Forest_Man United,2022-2023,31,16/04/2023,16:30,Nott'm Forest,Man United,0,2,A,0,1,A,S Hooper,6,22,0,8,4,9,9,9,2,2,0,0,5.5,4,1.62,1.8,2,5.5,4.1,1.75,5,3.96,1.69,1.85,2.12,1.78,2.05,0,3
2022-2023_Leeds_Liverpool,2022-2023,31,17/04/2023,20:00,Leeds,Liverpool,1,6,A,0,2,A,C Pawson,13,13,3,7,4,2,6,12,0,1,0,0,4.2,4.2,1.73,1.57,2.38,4.54,4.6,1.77,4.35,4.22,1.73,1.63,2.5,1.57,2.4,0,3
2022-2023_Arsenal_Southampton,2022-2023,32,21/04/2023,20:00,Arsenal,Southampton,3,3,D,1,2,A,S Hooper,25,8,6,6,7,2,10,14,1,5,0,0,1.2,7,13,1.5,2.63,1.23,7.9,17,1.2,7.18,14.72,1.55,2.7,1.51,2.58,1,1
2022-2023_Fulham_Leeds,2022-2023,32,22/04/2023,12:30,Fulham,Leeds,2,1,H,0,0,D,P Bankes,12,10,5,2,8,6,10,15,1,4,0,0,2.3,3.4,3.1,1.92,1.98,2.47,3.55,3.1,2.38,3.44,3.01,1.94,2.03,1.88,1.94,3,0
2022-2023_Brentford_Aston Villa,2022-2023,32,22/04/2023,15:00,Brentford,Aston Villa,1,1,D,0,0,D,M Salisbury,6,14,5,2,8,4,12,8,3,2,0,0,2.5,3.25,2.88,2,1.9,2.61,3.53,2.9,2.53,3.38,2.84,2.04,1.94,1.97,1.85,1,1
2022-2023_Crystal Palace_Everton,2022-2023,32,22/04/2023,15:00,Crystal Palace,Everton,0,0,D,0,0,D,J Brooks,12,10,2,5,8,1,12,14,1,1,0,1,2.05,3.2,3.75,2.3,1.62,2.18,3.35,4.1,2.11,3.25,3.83,2.45,1.65,2.34,1.6,1,1
2022-2023_Leicester_Wolves,2022-2023,32,22/04/2023,15:00,Leicester,Wolves,2,1,H,1,1,D,A Madley,15,16,8,3,1,7,17,16,1,3,0,0,2.38,3.3,3,2.1,1.73,2.5,3.36,3.21,2.45,3.27,3.05,2.21,1.77,2.14,1.72,3,0
2022-2023_Liverpool_Nott'm Forest,2022-2023,32,22/04/2023,15:00,Liverpool,Nott'm Forest,3,2,H,0,0,D,M Oliver,18,11,6,5,9,3,9,12,0,1,0,0,1.17,7.5,17,1.44,2.75,1.21,8.2,19.5,1.18,7.64,16.06,1.47,2.9,1.45,2.78,3,0
2022-2023_Bournemouth_West Ham,2022-2023,32,23/04/2023,14:00,Bournemouth,West Ham,0,4,A,0,3,A,A Taylor,17,18,5,10,8,5,7,8,1,2,0,0,2.88,3.2,2.55,2.1,1.73,2.91,3.35,2.75,2.83,3.25,2.61,2.19,1.79,2.12,1.73,0,3
2022-2023_Newcastle_Tottenham,2022-2023,32,23/04/2023,14:00,Newcastle,Tottenham,6,1,H,5,0,H,D Coote,25,11,8,3,9,3,7,13,0,3,0,0,1.83,3.75,4.2,1.86,2.04,1.92,4,4.4,1.85,3.81,4.22,1.92,2.09,1.83,2,3,0
2022-2023_Wolves_Crystal Palace,2022-2023,33,25/04/2023,19:30,Wolves,Crystal Palace,2,0,H,1,0,H,R Jones,9,14,3,4,6,11,13,14,5,4,0,0,2.45,3.2,3,2.5,1.53,2.58,3.23,3.25,2.52,3.14,3.09,2.56,1.6,2.46,1.56,3,0
2022-2023_Aston Villa_Fulham,2022-2023,33,25/04/2023,19:45,Aston Villa,Fulham,1,0,H,1,0,H,T Bramall,14,1,3,0,8,2,6,18,3,2,0,0,1.75,4,4.2,1.81,2.09,1.84,4.1,4.6,1.8,3.87,4.43,1.87,2.12,1.81,2.03,3,0
2022-2023_Leeds_Leicester,2022-2023,33,25/04/2023,20:00,Leeds,Leicester,1,1,D,1,0,H,P Tierney,13,15,3,3,3,6,14,15,4,2,0,0,2.3,3.5,3,1.73,2.1,2.45,3.67,3.1,2.37,3.54,2.98,1.8,2.18,1.75,2.11,1,1
2022-2023_Nott'm Forest_Brighton,2022-2023,33,26/04/2023,19:30,Nott'm Forest,Brighton,3,1,H,1,1,D,J Gillett,12,17,5,7,2,7,7,8,2,0,0,0,6,4.2,1.53,1.73,2.1,6.5,4.6,1.58,6.08,4.36,1.54,1.81,2.19,1.74,2.11,3,0
2022-2023_Chelsea_Brentford,2022-2023,33,26/04/2023,19:45,Chelsea,Brentford,0,2,A,0,1,A,A Madley,15,7,4,1,5,2,5,13,1,2,0,0,1.7,4,4.75,2,1.9,1.75,4.1,5.25,1.71,3.89,5.02,2.02,1.94,1.95,1.87,0,3
2022-2023_West Ham_Liverpool,2022-2023,33,26/04/2023,19:45,West Ham,Liverpool,1,2,A,1,1,D,C Kavanagh,7,20,2,4,3,6,6,8,0,0,0,0,3.9,3.9,1.85,1.67,2.2,4.2,4,1.92,3.96,3.86,1.88,1.72,2.29,1.68,2.21,0,3
2022-2023_Man City_Arsenal,2022-2023,33,26/04/2023,20:00,Man City,Arsenal,4,1,H,2,0,H,M Oliver,14,8,9,2,1,3,13,13,3,1,0,0,1.55,4.5,5.25,1.62,2.3,1.61,4.8,6.4,1.56,4.49,5.7,1.67,2.49,1.6,2.35,3,0
2022-2023_Everton_Newcastle,2022-2023,33,27/04/2023,19:45,Everton,Newcastle,1,4,A,0,1,A,A Marriner,13,15,5,8,3,14,8,6,2,1,0,0,4.75,3.6,1.73,2,1.8,5.2,3.88,1.81,4.84,3.7,1.77,2.11,1.87,2.04,1.79,0,3
2022-2023_Southampton_Bournemouth,2022-2023,33,27/04/2023,19:45,Southampton,Bournemouth,0,1,A,0,0,D,D England,11,16,2,2,6,4,9,11,0,3,0,0,2.25,3.4,3.2,2.03,1.87,2.39,3.57,3.22,2.3,3.43,3.15,2.08,1.9,2.01,1.82,0,3
2022-2023_Tottenham_Man United,2022-2023,33,27/04/2023,20:15,Tottenham,Man United,2,2,D,0,2,A,A Taylor,18,17,7,8,6,8,8,7,1,2,0,0,2.8,3.6,2.4,1.67,2.2,2.85,3.82,2.53,2.79,3.65,2.44,1.71,2.34,1.65,2.25,1,1
2022-2023_Crystal Palace_West Ham,2022-2023,34,29/04/2023,12:30,Crystal Palace,West Ham,4,3,H,3,2,H,C Pawson,16,8,6,4,8,5,9,17,1,2,0,0,2.63,3.25,2.75,2.2,1.67,2.88,3.28,2.9,2.7,3.18,2.81,2.4,1.7,2.3,1.63,3,0
2022-2023_Brentford_Nott'm Forest,2022-2023,34,29/04/2023,15:00,Brentford,Nott'm Forest,2,1,H,0,1,A,P Bankes,14,5,8,3,6,0,6,13,1,2,0,0,1.65,3.8,5.5,1.99,1.91,1.7,4,5.7,1.66,3.88,5.5,2.04,1.92,1.95,1.87,3,0
2022-2023_Brighton_Wolves,2022-2023,34,29/04/2023,15:00,Brighton,Wolves,6,0,H,4,0,H,D Coote,22,10,8,2,2,5,14,11,1,1,0,0,1.5,4.33,6.5,1.85,2.05,1.54,4.6,7,1.51,4.37,6.69,1.85,2.1,1.8,2.02,3,0
2022-2023_Bournemouth_Leeds,2022-2023,34,30/04/2023,14:00,Bournemouth,Leeds,4,1,H,2,1,H,C Kavanagh,12,15,7,6,2,6,12,14,1,0,0,0,2.55,3.5,2.7,1.8,2,2.67,3.62,2.75,2.61,3.5,2.68,1.86,2.1,1.8,2.02,3,0
2022-2023_Fulham_Man City,2022-2023,34,30/04/2023,14:00,Fulham,Man City,1,2,A,1,2,A,S Hooper,4,12,1,9,2,5,9,10,1,3,0,0,12,6,1.25,1.53,2.5,13,6.6,1.28,11.95,6.23,1.25,1.58,2.55,1.54,2.48,0,3
2022-2023_Man United_Aston Villa,2022-2023,34,30/04/2023,14:00,Man United,Aston Villa,1,0,H,1,0,H,J Gillett,14,7,6,1,1,4,16,7,2,0,0,0,1.73,3.9,4.6,1.67,2.2,1.83,4.1,4.7,1.78,3.94,4.35,1.7,2.3,1.66,2.24,3,0
2022-2023_Newcastle_Southampton,2022-2023,34,30/04/2023,14:00,Newcastle,Southampton,3,1,H,0,1,A,A Taylor,22,4,5,3,11,2,7,10,1,4,0,0,1.3,5.25,10,1.73,2.1,1.35,6,11,1.32,5.46,9.9,1.75,2.25,1.71,2.15,3,0
2022-2023_Liverpool_Tottenham,2022-2023,34,30/04/2023,16:30,Liverpool,Tottenham,4,3,H,3,1,H,P Tierney,12,10,4,7,5,2,12,6,3,2,0,0,1.53,4.5,5.75,1.5,2.63,1.6,5,6.05,1.54,4.69,5.68,1.52,2.72,1.5,2.61,3,0
2022-2023_Leicester_Everton,2022-2023,34,01/05/2023,20:00,Leicester,Everton,2,2,D,2,1,H,M Oliver,15,23,6,8,2,9,10,12,4,1,0,0,2,3.5,3.75,2.07,1.83,2.1,3.6,4,2.04,3.45,3.79,2.07,1.85,2.02,1.8,1,1
